trait	cell_type	beta	pval	p_adj
OBESE	Eosinophils	-0.019673476	0.817047392	0.925242795
DIAB	CD8..Tcm	0.04052705	0.826243719	0.92662847
OBESE	Memory.B.cells	-0.01882988	0.824580642	0.92662847
ASTHMA	Erythrocytes	0.034345636	0.845937554	0.937522069
DIAB	B.cells	-0.034445612	0.851582546	0.937522069
DIAB	Mast.cells	-0.035285008	0.848690537	0.937522069
ASTHMA	aDC	-0.035754907	0.846446395	0.937522069
ASTHMA	iDC	0.030512101	0.867804757	0.938167304
ASTHMA	CD8..T.cells	0.030415977	0.865083305	0.938167304
HTN	CD4..naive.T.cells	0.014531797	0.857680727	0.938167304
INF_HIV	pDC	-0.016990459	0.863357318	0.938167304
DIAB	Memory.B.cells	-0.027658333	0.880616894	0.947749124
OBESE	CD4..T.cells	-0.011300736	0.894253623	0.957717476
INF_HIV	Plasma.cells	-0.013096969	0.897860134	0.957717476
ASTHMA	CMP	0.018252292	0.916109322	0.968573732
OBESE	Mast.cells	-0.009355614	0.91227135	0.968573732
HTN	aDC	0.007539241	0.92587547	0.970349838
OBESE	Monocytes	-0.008195204	0.923211981	0.970349838
ASTHMA	CD4..memory.T.cells	0.013110391	0.942350605	0.970557702
ASTHMA	MPP	0.010784668	0.95033775	0.970557702
INF_HIV	Basophils	0.008190836	0.934504831	0.970557702
INF_HIV	GMP	0.007147182	0.943654537	0.970557702
HTN	B.cells	0.005451934	0.946356297	0.970557702
ASTHMA	Macrophages.M1	-0.012305087	0.944782471	0.970557702
SMOKER	Tgd.cells	0.004786088	0.955834591	0.972035178
INF_HIV	Monocytes	0.004260959	0.966125779	0.978305699
SMOKER	Eosinophils	-0.003234371	0.970153152	0.978305699
SMOKER	iDC	0.00227043	0.979039522	0.983135922
ASTHMA	CD4..Tcm	-0.002166446	0.990259535	0.990259535
